task,obs,method,cov50,cov90,cov95,c2st
two_moons,1,GBC,0.5,1.0,1.0,0.528
two_moons,1,SNPE-C,0.0,1.0,1.0,0.47
two_moons,2,GBC,0.5,1.0,1.0,0.51
two_moons,2,SNPE-C,0.5,1.0,1.0,0.506
two_moons,3,GBC,0.5,1.0,1.0,0.512
two_moons,3,SNPE-C,0.5,1.0,1.0,0.506
two_moons,4,GBC,0.5,1.0,1.0,0.466
two_moons,4,SNPE-C,0.5,1.0,1.0,0.512
two_moons,5,GBC,0.0,0.5,0.5,0.506
two_moons,5,SNPE-C,0.0,0.5,0.5,0.528
two_moons,6,GBC,0.5,1.0,1.0,0.526
two_moons,6,SNPE-C,0.5,1.0,1.0,0.488
two_moons,7,GBC,0.5,1.0,1.0,0.45
two_moons,7,SNPE-C,0.0,1.0,1.0,0.532
two_moons,8,GBC,0.0,1.0,1.0,0.52
two_moons,8,SNPE-C,0.0,1.0,1.0,0.49
two_moons,9,GBC,0.5,1.0,1.0,0.512
two_moons,9,SNPE-C,0.5,1.0,1.0,0.508
two_moons,10,GBC,0.5,0.5,0.5,0.566
two_moons,10,SNPE-C,0.5,0.5,0.5,0.488
slcp,1,GBC,0.0,0.2,0.2,0.954
slcp,1,SNPE-C,0.0,0.4,0.4,0.632
slcp,2,GBC,0.0,0.4,0.6,0.952
slcp,2,SNPE-C,0.2,1.0,1.0,0.872
slcp,3,GBC,0.2,0.2,0.4,0.964
slcp,3,SNPE-C,0.4,0.8,0.8,0.788
slcp,4,GBC,0.4,0.8,1.0,0.624
slcp,4,SNPE-C,0.4,1.0,1.0,0.666
slcp,5,GBC,0.0,0.0,0.2,0.936
slcp,5,SNPE-C,0.4,0.6,1.0,0.63
slcp,6,GBC,0.4,1.0,1.0,0.722
slcp,6,SNPE-C,0.6,1.0,1.0,0.692
slcp,7,GBC,0.4,0.8,1.0,0.984
slcp,7,SNPE-C,0.6,0.8,0.8,0.73
slcp,8,GBC,0.0,0.4,0.6,0.976
slcp,8,SNPE-C,0.6,0.6,0.8,0.808
slcp,9,GBC,0.6,1.0,1.0,0.72
slcp,9,SNPE-C,0.6,1.0,1.0,0.868
slcp,10,GBC,0.2,0.4,0.6,0.574
slcp,10,SNPE-C,0.0,0.8,0.8,0.694
gaussian_linear_uniform,1,GBC,0.1,0.2,0.4,0.996
gaussian_linear_uniform,1,SNPE-C,0.4,0.6,0.7,0.674
gaussian_linear_uniform,2,GBC,0.0,0.2,0.5,0.968
gaussian_linear_uniform,2,SNPE-C,0.2,0.7,0.9,0.584
gaussian_linear_uniform,3,GBC,0.0,0.1,0.2,0.998
gaussian_linear_uniform,3,SNPE-C,0.0,0.7,0.8,0.742
gaussian_linear_uniform,4,GBC,0.0,0.2,0.4,0.938
gaussian_linear_uniform,4,SNPE-C,0.5,0.9,0.9,0.584
gaussian_linear_uniform,5,GBC,0.0,0.4,0.6,0.922
gaussian_linear_uniform,5,SNPE-C,0.3,0.9,1.0,0.606
gaussian_linear_uniform,6,GBC,0.2,0.4,0.4,0.918
gaussian_linear_uniform,6,SNPE-C,0.6,0.9,0.9,0.606
gaussian_linear_uniform,7,GBC,0.2,0.6,0.7,0.934
gaussian_linear_uniform,7,SNPE-C,0.4,1.0,1.0,0.614
gaussian_linear_uniform,8,GBC,0.0,0.1,0.4,0.974
gaussian_linear_uniform,8,SNPE-C,0.5,1.0,1.0,0.572
gaussian_linear_uniform,9,GBC,0.2,0.5,0.6,0.954
gaussian_linear_uniform,9,SNPE-C,0.6,0.9,1.0,0.514
gaussian_linear_uniform,10,GBC,0.2,0.4,0.4,0.988
gaussian_linear_uniform,10,SNPE-C,0.5,0.8,0.9,0.598
bernoulli_glm,1,GBC,0.0,0.2,0.5,0.936
bernoulli_glm,1,SNPE-C,0.6,0.9,0.9,0.586
bernoulli_glm,2,GBC,0.1,0.2,0.4,0.94
bernoulli_glm,2,SNPE-C,0.4,0.8,1.0,0.628
bernoulli_glm,3,GBC,0.1,0.3,0.3,0.958
bernoulli_glm,3,SNPE-C,0.2,0.7,0.7,0.68
bernoulli_glm,4,GBC,0.1,0.4,0.6,0.978
bernoulli_glm,4,SNPE-C,0.2,0.9,0.9,0.686
bernoulli_glm,5,GBC,0.1,0.1,0.2,0.984
bernoulli_glm,5,SNPE-C,0.6,0.9,1.0,0.594
bernoulli_glm,6,GBC,0.4,0.6,0.7,0.894
bernoulli_glm,6,SNPE-C,0.3,0.9,1.0,0.61
bernoulli_glm,7,GBC,0.2,0.6,0.8,0.938
bernoulli_glm,7,SNPE-C,0.6,0.7,0.8,0.686
bernoulli_glm,8,GBC,0.2,0.2,0.6,0.952
bernoulli_glm,8,SNPE-C,0.2,0.9,0.9,0.582
bernoulli_glm,9,GBC,0.1,0.5,0.5,0.944
bernoulli_glm,9,SNPE-C,0.5,1.0,1.0,0.614
bernoulli_glm,10,GBC,0.1,0.2,0.4,0.994
bernoulli_glm,10,SNPE-C,0.9,1.0,1.0,0.622
